source,reference,N,korrekt_beschattet_TP,korrekt_nicht_TN,unnoetig_beschattet_FP,verpasst_FN,accuracy,precision,recall
MTG FCI L2 CLM,Kamera (v106),992,405,439,32,116,0.8508,0.9268,0.7774
Bright Sky (DWD),Kamera (v106),992,425,376,95,96,0.8075,0.8173,0.8157
Open-Meteo,Kamera (v106),992,396,420,51,125,0.8226,0.8859,0.7601
OpenWeatherMap,Kamera (v106),992,391,356,115,130,0.753,0.7727,0.7505
Tomorrow.io,Kamera (v106),992,405,364,107,116,0.7752,0.791,0.7774
WeatherAPI.com,Kamera (v106),992,489,72,399,32,0.5655,0.5507,0.9386
