source,n,n_days,MAE,MAE 95% CI,RMSE,RMSE 95% CI,Bias (ME),Bias (ME) 95% CI,Pearson r,Pearson r 95% CI
MTG FCI L2 CLM,2646,34,13.44,"[10.59, 16.39]",23.05,"[19.75, 26.13]",6.15,"[3.48, 8.93]",0.86,"[0.81, 0.89]"
Bright Sky (DWD),2646,34,18.56,"[15.22, 21.75]",29.92,"[26.58, 32.89]",3.11,"[0.70, 5.59]",0.73,"[0.66, 0.80]"
Open-Meteo,2646,34,18.81,"[15.40, 22.34]",29.25,"[25.43, 32.88]",6.96,"[3.84, 10.12]",0.75,"[0.67, 0.81]"
OpenWeatherMap,2646,34,24.07,"[19.19, 28.81]",35.43,"[30.25, 40.01]",2.05,"[-3.66, 7.95]",0.58,"[0.45, 0.70]"
Tomorrow.io,2646,34,19.79,"[16.35, 23.09]",29.89,"[26.51, 32.82]",-2.52,"[-6.47, 1.40]",0.69,"[0.61, 0.77]"
WeatherAPI.com,2646,34,32.38,"[25.02, 40.19]",46.91,"[39.37, 54.13]",-26.37,"[-35.13, -18.31]",0.32,"[0.20, 0.43]"
