source,n,n_days,MAE,MAE 95% CI,RMSE,RMSE 95% CI,Bias (ME),Bias (ME) 95% CI,Pearson r,Pearson r 95% CI
MTG FCI L2 CLM,2646,34,22.07,"[18.27, 26.00]",34.32,"[29.88, 38.49]",-16.5,"[-21.17, -11.99]",0.73,"[0.65, 0.79]"
Bright Sky (DWD),2646,34,27.9,"[23.77, 32.05]",40.54,"[36.33, 44.56]",-19.54,"[-23.64, -15.40]",0.61,"[0.52, 0.69]"
Open-Meteo,2646,34,25.72,"[22.04, 29.48]",36.91,"[32.99, 40.67]",-15.69,"[-20.59, -11.07]",0.64,"[0.55, 0.72]"
OpenWeatherMap,2646,34,31.79,"[26.75, 36.83]",43.2,"[38.35, 47.68]",-20.6,"[-27.39, -13.69]",0.51,"[0.36, 0.63]"
Tomorrow.io,2646,34,30.28,"[25.86, 35.09]",40.94,"[36.52, 45.52]",-25.18,"[-31.11, -19.47]",0.62,"[0.53, 0.70]"
WeatherAPI.com,2646,34,51.11,"[44.21, 58.10]",62.22,"[56.22, 67.91]",-49.02,"[-56.33, -41.89]",0.3,"[0.18, 0.40]"
